country | category    | rev        
--------+-------------+------------
KE      | office      | 12915883.48
ZA      | furniture   | 12876151.02
GB      | music       | 12809420.16
IN      | tools       | 12787581.68
IN      | music       | 12780308.62
KE      | food        | 12755171.02
DE      | furniture   | 12734567.21
FR      | music       | 12733657.16
KE      | sports      | 12718875.28
FR      | furniture   | 12714476.23
ZA      | music       | 12712914.78
IN      | office      | 12706221.85
IN      | clothing    | 12701014.69
IN      | furniture   | 12700121.24
NG      | clothing    | 12668857.86
FR      | books       | 12666593.95
DE      | music       | 12665629.52
KE      | music       | 12658330.29
KE      | furniture   | 12651899.87
GB      | clothing    | 12651886.46
ZA      | tools       | 12644213.06
FR      | sports      | 12638089.35
DE      | sports      | 12636588.50
FR      | food        | 12633537.77
KE      | tools       | 12631283.24
BR      | tools       | 12615235.89
BR      | music       | 12611705.21
GB      | furniture   | 12609467.45
DE      | books       | 12603376.71
IN      | sports      | 12602112.25
DE      | office      | 12601986.44
ZA      | sports      | 12601738.10
NG      | books       | 12594755.92
FR      | office      | 12592093.57
GB      | food        | 12584868.57
NG      | furniture   | 12579387.96
DE      | food        | 12576091.77
BR      | clothing    | 12574015.90
KE      | books       | 12562481.15
ZA      | books       | 12562392.05
NG      | office      | 12560779.30
ZA      | food        | 12552425.67
IN      | food        | 12543881.18
GB      | sports      | 12543174.67
IN      | books       | 12533175.76
ZA      | office      | 12531105.61
BR      | office      | 12523983.60
NG      | tools       | 12522550.23
ZA      | clothing    | 12522397.61
FR      | tools       | 12518759.54
BR      | sports      | 12504545.32
FR      | clothing    | 12504035.25
DE      | tools       | 12498617.54
GB      | tools       | 12493776.69
NG      | music       | 12493338.74
DE      | clothing    | 12482770.09
GB      | office      | 12482587.96
GB      | books       | 12465590.64
NG      | food        | 12457004.28
NG      | sports      | 12452039.84
BR      | furniture   | 12445477.59
KE      | clothing    | 12434790.74
BR      | books       | 12424279.54
BR      | food        | 12335826.48
ZA      | toys        |  6415744.71
NG      | electronics |  6406524.25
FR      | electronics |  6395174.21
JP      | office      |  6392225.30
ZA      | electronics |  6391647.10
JP      | furniture   |  6382187.79
JP      | books       |  6376215.37
US      | furniture   |  6336965.54
GB      | toys        |  6336061.24
JP      | music       |  6323919.38
US      | sports      |  6312183.82
US      | books       |  6303960.47
IN      | toys        |  6302748.36
GB      | electronics |  6295579.23
KE      | electronics |  6293818.76
JP      | clothing    |  6278094.60
JP      | sports      |  6276217.74
US      | clothing    |  6271185.07
DE      | electronics |  6267245.63
BR      | electronics |  6266621.40
JP      | tools       |  6254479.66
BR      | toys        |  6253478.13
KE      | toys        |  6245827.77
US      | tools       |  6232270.90
US      | food        |  6228962.02
FR      | toys        |  6222496.50
US      | office      |  6220648.41
US      | music       |  6216010.73
NG      | toys        |  6212903.67
DE      | toys        |  6197769.28
JP      | food        |  6196628.78
IN      | electronics |  6177090.49
JP      | toys        |  3191373.65
JP      | electronics |  3156352.31
US      | toys        |  3085969.99
US      | electronics |  3067024.69
(100 rows)
