name        | order_count
------------+------------
User_89585  |          17
User_316821 |          16
User_272177 |          16
User_343168 |          15
User_319663 |          15
User_30332  |          15
User_426227 |          15
User_197997 |          14
User_163886 |          14
User_207174 |          14
User_143386 |          14
User_53027  |          14
User_194343 |          14
User_61894  |          14
User_122070 |          14
User_116582 |          14
User_130532 |          14
User_70743  |          14
User_36152  |          14
User_48765  |          14
(20 rows)
