id      | user_id | product_id | quantity | total   | status     | ordered_at                             | shipped_at                             | notes
--------+---------+------------+----------+---------+------------+----------------------------------------+----------------------------------------+------
 112826 |  171507 |     211483 |        6 | 1010.00 | cancelled  | 2025-12-21 17:25:32.069001 +0000 +0000 | 2026-04-28 18:14:15.848467 +0000 +0000 |      
  16184 |  424532 |       6602 |        5 | 1010.00 | shipped    | 2026-04-06 06:28:12.367257 +0000 +0000 | 2026-01-07 12:22:46.648793 +0000 +0000 |      
  70391 |  183503 |      37395 |        8 | 1010.00 | cancelled  | 2026-01-10 15:52:58.711944 +0000 +0000 | NULL                                   |      
1929159 |  105349 |      18291 |        6 | 1010.00 | processing | 2025-11-21 01:41:13.28077 +0000 +0000  | 2026-01-12 02:09:35.164282 +0000 +0000 |      
 965294 |  156314 |     209659 |        8 | 1010.00 | processing | 2026-02-09 13:46:14.14246 +0000 +0000  | 2026-04-10 12:08:03.154422 +0000 +0000 |      
1711587 |   69868 |     419517 |        6 | 1010.00 | processing | 2026-05-06 10:08:01.758117 +0000 +0000 | 2026-01-22 16:57:12.07691 +0000 +0000  |      
 825924 |  425998 |        410 |        9 | 1010.00 | delivered  | 2026-01-04 01:58:17.237328 +0000 +0000 | 2026-01-04 13:05:08.424244 +0000 +0000 |      
 714448 |  274991 |     206855 |        2 | 1010.00 | processing | 2026-02-07 08:06:18.450012 +0000 +0000 | NULL                                   |      
  44471 |  124564 |      50550 |       11 | 1009.99 | delivered  | 2026-01-01 02:57:41.997828 +0000 +0000 | 2025-12-26 01:41:01.672815 +0000 +0000 |      
 495406 |  314522 |     300669 |        8 | 1009.99 | shipped    | 2026-04-05 01:21:27.98303 +0000 +0000  | NULL                                   |      
1240224 |  382783 |     387228 |       10 | 1009.99 | processing | 2026-02-08 00:26:29.188096 +0000 +0000 | 2025-12-11 08:11:14.195398 +0000 +0000 |      
 623065 |  312143 |      37014 |        9 | 1009.99 | delivered  | 2026-01-03 07:44:48.959681 +0000 +0000 | NULL                                   |      
 386744 |   63384 |     275606 |        4 | 1009.99 | delivered  | 2026-02-26 16:44:30.311693 +0000 +0000 | NULL                                   |      
 178350 |  469443 |     142571 |       10 | 1009.99 | shipped    | 2026-04-05 15:40:52.67707 +0000 +0000  | 2025-12-01 14:40:44.189262 +0000 +0000 |      
1775376 |   29591 |      90146 |       11 | 1009.99 | shipped    | 2026-04-12 05:38:34.603758 +0000 +0000 | 2026-01-02 13:36:17.327332 +0000 +0000 |      
1614911 |  203320 |     212010 |        9 | 1009.99 | delivered  | 2026-02-13 07:05:48.738324 +0000 +0000 | NULL                                   |      
1950478 |  363378 |     242383 |        7 | 1009.99 | shipped    | 2026-04-18 02:16:03.794215 +0000 +0000 | 2026-03-10 12:02:38.750324 +0000 +0000 |      
1829888 |  490186 |     216425 |       11 | 1009.99 | shipped    | 2025-12-16 06:01:53.361137 +0000 +0000 | 2025-12-26 17:36:58.801199 +0000 +0000 |      
1162103 |  245116 |     485520 |       10 | 1009.99 | pending    | 2026-03-15 19:46:09.035671 +0000 +0000 | 2025-12-28 01:50:18.187468 +0000 +0000 |      
1924378 |  350773 |     313392 |        2 | 1009.99 | shipped    | 2026-02-14 15:44:49.381774 +0000 +0000 | 2025-12-16 00:08:13.421657 +0000 +0000 |      
   9738 |  467487 |     332511 |        8 | 1009.99 | cancelled  | 2026-04-17 09:22:56.896426 +0000 +0000 | 2026-03-23 13:52:49.755581 +0000 +0000 |      
