plan       | month | orders_per_month | rev         
-----------+-------+------------------+-------------
enterprise |     1 |            20737 |  10616623.88
enterprise |     2 |            18816 |   9589482.91
enterprise |     3 |            20659 |  10546191.31
enterprise |     4 |            20103 |  10262926.02
enterprise |     5 |            11921 |   6080582.85
enterprise |    11 |             7475 |   3807355.17
enterprise |    12 |            20546 |  10510233.00
free       |     1 |           205851 | 105000617.56
free       |     2 |           186738 |  95313374.35
free       |     3 |           206381 | 105263314.33
free       |     4 |           200565 | 102360550.65
free       |     5 |           118399 |  60486336.86
free       |    11 |            74420 |  37965178.41
free       |    12 |           206294 | 105224520.22
pro        |     1 |           116855 |  59517204.16
pro        |     2 |           105886 |  53988610.52
pro        |     3 |           117646 |  59958459.74
pro        |     4 |           114233 |  58176717.64
pro        |     5 |            67579 |  34364753.69
pro        |    11 |            42085 |  21524932.25
pro        |    12 |           116811 |  59717538.53
(21 rows)
